,,Net Mean,Median,Max,Min,STD,Variance,Range,Skweness,Kurtosis
Batch1,S1,-0.043922326,0.086430017,13.04266796,-21.30012085,3.719698929,13.83616013,34.34278881,-0.105131366,4.603547686
,S2,-0.026947728,-0.070907221,12.84191596,-21.9263278,4.028031885,16.22504087,34.76824376,0.032740177,4.298472239
,S3,-0.013497314,-0.063018589,14.85073336,-23.23470307,4.316549901,18.63260305,38.08543643,0.034417261,4.199493969
,S4,-0.068880461,-0.036016603,17.23325772,-31.3358746,4.342138724,18.8541687,48.56913232,-0.022705763,6.279625436
,S5,-0.039188216,-0.108910394,11.44280086,-11.26154768,2.97125485,8.828355384,22.70434854,0.0703967,3.548760883
,S6,0.013250648,0.066408557,12.04911237,-11.96586601,3.253758356,10.58694344,24.01497838,-0.04901216,3.276010501
,S7,0.007100835,0.104109089,15.27059856,-16.14883544,3.738163513,13.97386645,31.419434,-0.077852336,4.226789551
,S8,-0.066426206,-0.15541135,19.07552977,-29.44591538,4.854030993,23.56161688,48.52144515,0.054996648,5.33915725
,S9,-0.008144772,-0.084172093,14.07173832,-13.56912558,3.838515915,14.73420443,27.6408639,0.059419309,3.365264417
,S10,0.046859604,0.117897146,10.06186927,-10.66708372,2.819024513,7.946899203,20.72895299,-0.075598004,4.001051901
,S11,0.021725357,-0.02955962,23.38921107,-18.00075538,4.565223057,20.84126156,41.38996645,0.033701514,4.612552612
,S12,-0.018172527,-0.071374447,17.54359734,-12.8840534,4.288240269,18.38900461,30.42765074,0.037219407,3.415432796
,S13,0.02839609,0.170621611,16.71969145,-16.58898225,4.578582547,20.96341814,33.30867369,-0.093189663,3.206328398
,S14,0.022732457,0.054370937,17.17602451,-15.55470727,4.534891119,20.56523746,32.73073177,-0.020930037,3.508810455
,S15,-0.003358065,0.090285063,12.74837863,-14.10271707,4.154297749,17.25818979,26.8510957,-0.067623796,3.104808211
,S16,0.044056288,0.073193218,12.47397209,-10.68540924,3.139517031,9.856567191,23.15938133,-0.027842114,3.048676536
,S17,-0.029075358,-0.028955055,15.979615,-21.61726798,4.247453588,18.04086198,37.59688297,-8.50E-05,4.406541999
,S18,-0.024655194,0.015684735,18.99665177,-23.9683902,4.215138366,17.76739145,42.96504197,-0.02871075,5.25479589
,S19,-0.009800709,-0.014983312,11.34146737,-14.5798929,3.826724909,14.64382353,25.92136027,0.004062955,3.255325092
,S20,-0.004884412,0.039752908,12.08737032,-16.15254211,4.116867558,16.94859849,28.23991243,-0.032527634,3.426777219
,S21,-0.006973042,0.085753037,17.03197392,-21.7868836,4.202480079,17.66083881,38.81885752,-0.066193827,4.342304924
,S22,-0.004500382,-0.038627756,14.72893543,-18.19342175,3.557057123,12.65265538,32.92235718,0.028782817,4.003456512
,S23,0.010659033,-0.105008433,10.84959694,-10.0310346,3.560723246,12.67875004,20.88063154,0.097452785,2.844649104
,S24,0.025436859,-0.013072048,9.121522436,-9.728566207,2.800865816,7.844849318,18.85008864,0.041246789,3.110921847
,S25,0.025259081,0.046277554,15.9958089,-13.56643316,3.501860023,12.26302362,29.56224206,-0.018006265,4.302113714
,S26,0.003405967,0.178792036,18.78034379,-17.86617371,4.517674495,20.40938284,36.6465175,-0.116466605,4.265760211
,S27,0.034910967,0.153403587,12.09295992,-15.44193265,3.301360398,10.89898048,27.53489256,-0.107676174,3.967310266
,S28,0.045123007,0.182203421,10.50907161,-7.21488403,2.649250849,7.018530062,17.72395564,-0.155229258,2.879208505
,S29,0.024353713,0.018910022,33.46697829,-20.26038475,4.885180007,23.86498371,53.72736304,0.003342982,7.265110361
,S30,0.009117447,0.044375914,12.79197403,-13.51803222,3.804782141,14.47636714,26.31000624,-0.027800646,3.085763096
,S31,0.01224045,0.030978939,27.55783819,-16.72789614,4.669691425,21.80601801,44.28573433,-0.012038368,4.721966359
,S32,-0.006201092,0.224280069,16.37310089,-13.39132814,4.330199944,18.75063156,29.76442903,-0.159679343,2.959261374
,S33,-10.19963393,-4.39468589,23.26151301,-151.3319144,25.46272074,648.3501473,174.5934274,-0.68393493,18.57826165
,S34,31.41365181,32.76019337,83.94759879,-33.86468352,29.86429406,891.8760594,117.8122823,-0.135266037,1.670176762
