,,Batch1,Batch2,Batch3,Batch4,Batch5,Batch6,Batch7,TotalAvg
Sample1,Net Mean,-0.043922326,-0.003689396,-0.025511297,-0.044299276,-0.024545818,-0.026924431,-0.02891753,-0.028258582
,Median,0.086430017,0.022655946,-0.26080578,0.076879194,-0.030027288,-0.036382645,0.021439345,0.021439345
,Max,13.04266796,12.86625203,16.48110425,11.84404429,12.48853445,11.36668308,12.51246126,16.48110425
,Min,-21.30012085,-18.10116918,-18.24920243,-12.51362965,-13.78533133,-15.95327691,-18.26233823,-21.30012085
,STD,3.719698929,3.986157276,4.82995944,3.653599141,3.559037186,3.711133989,3.612465112,3.889400802
,Variance,13.83616013,15.88944983,23.32850819,13.34878669,12.66674569,13.77251549,13.04990418,15.1274386
,Range,34.34278881,30.9674212,34.73030668,24.35767394,26.27386578,27.31995999,30.77479949,37.7812251
,Skewness,-0.105131366,-0.019827624,0.146146869,-0.099500628,0.004620466,0.007645814,-0.041819262,-0.038333355
,Kurtosis,4.603547686,3.492777569,3.520551953,3.11172427,3.24401426,3.222166032,3.709607133,3.74373138
Sample2,Net Mean,-0.026947728,0.001340437,-0.008206962,-0.020971061,-0.024466616,-0.01255854,-0.015537469,-0.01533542
,Median,-0.070907221,0.032952982,-0.189091531,-0.151212122,-0.040781668,0.03607297,-0.030485168,-0.151212122
,Max,12.84191596,15.52300542,23.65379284,14.03018533,13.18542532,10.76157826,15.07026013,23.65379284
,Min,-21.9263278,-18.88676695,-17.8330531,-13.62251443,-12.63042494,-23.44647746,-19.78461001,-23.44647746
,STD,4.028031885,4.358791496,5.411151389,3.873754919,3.818785174,3.939307638,3.836810158,4.214482137
,Variance,16.22504087,18.99906331,29.28055935,15.00597717,14.58312021,15.51814467,14.72111219,17.76185968
,Range,34.76824376,34.40977236,41.48684594,27.65269976,25.81585026,34.20805571,34.85487015,47.1002703
,Skewness,0.032740177,-0.021757782,0.100284333,0.100864198,0.012816944,-0.037035577,0.011687598,0.09672128
,Kurtosis,4.298472239,3.623825524,4.330215785,3.268044542,3.137291252,4.782822276,3.932809798,4.328643053
Sample3,Net Mean,-0.013497314,0.007574749,0.001261498,-0.007823798,-0.002414665,-0.003148977,-0.005065386,-0.003301985
,Median,-0.063018589,0.087141996,-0.007852054,0.021209275,-0.002944419,0.042558468,0.047665795,0.021209275
,Max,14.85073336,18.13729298,25.9025791,14.21029614,14.64846142,10.86418155,17.23921485,25.9025791
,Min,-23.23470307,-17.325625,-21.23893949,-15.12042502,-14.65585693,-13.89867063,-20.35330577,-23.23470307
,STD,4.316549901,4.637605871,5.93714066,4.114927829,3.981875505,3.813967997,3.937204022,4.443703755
,Variance,18.63260305,21.50738821,35.24963922,16.93263104,15.85533254,14.54635188,15.50157551,19.74650306
,Range,38.08543643,35.46291798,47.14151859,29.33072116,29.30431834,24.76285218,37.59252061,49.13728217
,Skewness,0.034417261,-0.051470899,0.00460502,-0.021166646,0.000399124,-0.035952671,-0.040179158,-0.016547858
,Kurtosis,4.199493969,3.908265488,4.523198855,3.205408267,3.208597537,3.032288707,4.228634927,4.495172506
Sample4,Net Mean,-0.068880461,-0.036703959,-0.048175016,-0.061817866,-0.06669624,-0.055252644,-0.057997338,-0.056503361
,Median,-0.036016603,0.049815466,0.039215928,0.038268808,-0.076205858,-0.154727235,0.052438408,0.038268808
,Max,17.23325772,16.48935678,23.57872362,14.01552262,14.65798905,14.40623644,15.47976751,23.57872362
,Min,-31.3358746,-26.31622835,-24.20572931,-15.61329089,-15.0616962,-15.70923185,-19.65667982,-31.3358746
,STD,4.342138724,4.649681704,5.352039381,3.957884556,3.926652255,4.04508598,3.896971059,4.338376693
,Variance,18.8541687,21.61953995,28.64432554,15.66485016,15.41859793,16.36272058,15.18638343,18.82151233
,Range,48.56913232,42.80558514,47.78445294,29.62881351,29.71968525,30.11546829,35.13644733,54.91459822
,Skewness,-0.022705763,-0.055822805,-0.048985595,-0.075863765,0.007265439,0.073774395,-0.085016602,-0.065535228
,Kurtosis,6.279625436,5.195956693,4.40110434,3.504182379,3.722097702,3.59317937,4.20305599,4.818278761
Sample5,Net Mean,-0.039188216,-0.014582584,-0.023938324,-0.033487432,-0.023931653,-0.026187686,-0.038102879,-0.028488396
,Median,-0.108910394,0.076186942,0.008689071,0.033723716,-0.126505882,-0.168688544,-0.037623789,-0.168688544
,Max,11.44280086,9.422024115,17.37898408,13.21491825,9.320695153,15.2093899,10.54199592,17.37898408
,Min,-11.26154768,-10.39211414,-13.39944084,-9.735217229,-11.49881587,-13.84049838,-10.12154194,-13.84049838
,STD,2.97125485,3.434432972,3.72194212,3.080684205,2.752654439,3.263529551,2.962078689,3.18408532
,Variance,8.828355384,11.79532984,13.85285315,9.490615174,7.577106458,10.65062513,8.773910157,10.13839933
,Range,22.70434854,19.81413825,30.77842493,22.95013548,20.81951102,29.04988829,20.66353786,31.21948246
,Skewness,0.0703967,-0.079287784,-0.026298685,-0.065450865,0.111791252,0.130993934,-0.000485223,0.132094589
,Kurtosis,3.548760883,2.853807989,3.952608763,3.65708903,3.420627237,4.606620339,3.195453228,3.789364099
Sample6,Net Mean,0.013250648,0.016659394,0.008514093,0.02399539,0.016744521,0.014153506,0.00711482,0.014347482
,Median,0.066408557,-0.042148575,0.011396463,-0.001670794,0.036266453,-0.041034187,-0.007636928,-0.042148575
